Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
809,60710085012,-117.1703763,34.03205851,42.89666667,23.026315789473685,Block Group 2; Census Tract 85.01; San Bernardino County; California,1894,1894,0,100.0
810,60710073053,-117.2478824,34.06023402,45.846,51.90909090909091,Block Group 3; Census Tract 73.05; San Bernardino County; California,2077,2077,0,100.0
811,60710084051,-117.1650137,34.07549253,45.12916667,39.13333333333333,Block Group 1; Census Tract 84.05; San Bernardino County; California,1611,1611,0,100.0
812,60710073073,-117.2371281,34.04038356,45.40174603,45.77777777777778,Block Group 3; Census Tract 73.07; San Bernardino County; California,1159,1159,0,100.0
813,60710073063,-117.2332459,34.05814761,45.30492063,17.166666666666668,Block Group 3; Census Tract 73.06; San Bernardino County; California,922,922,0,100.0
814,60710051022,-117.2833535,34.16192683,45.84641791,58.92857142857143,Block Group 2; Census Tract 51.02; San Bernardino County; California,1760,1760,0,100.0
815,60710073051,-117.2572109,34.0572992,45.105,37.583333333333336,Block Group 1; Census Tract 73.05; San Bernardino County; California,1494,1494,0,100.0
816,60710072022,-117.2694559,34.07787609,46.97911765,49.41904761904762,Block Group 2; Census Tract 72.02; San Bernardino County; California,1208,1208,0,100.0
817,60710072011,-117.2536393,34.0659983,45.82569231,47.68421052631579,Block Group 1; Census Tract 72.01; San Bernardino County; California,1788,1788,0,100.0
818,60710072012,-117.2480994,34.07146877,46.28264706,41.523809523809526,Block Group 2; Census Tract 72.01; San Bernardino County; California,1883,1883,0,100.0
819,60710072021,-117.2563596,34.07363952,46.13411765,41.85714285714285,Block Group 1; Census Tract 72.02; San Bernardino County; California,1050,1050,0,100.0
820,60710063032,-117.2622779,34.12498856,46.65865672,33.5,Block Group 2; Census Tract 63.03; San Bernardino County; California,2066,2066,0,100.0
821,60710051021,-117.2935999,34.16075572,46.12072464,32.26086956521739,Block Group 1; Census Tract 51.02; San Bernardino County; California,1482,1482,0,100.0
822,60710049022,-117.3212876,34.10175953,47.09625,61.0,Block Group 2; Census Tract 49.02; San Bernardino County; California,1963,1963,0,100.0
823,60710073081,-117.2613063,34.04111742,45.92096774,17.46875,Block Group 1; Census Tract 73.08; San Bernardino County; California,1757,1757,0,100.0
824,60710071122,-117.2981162,34.04977234,44.78492063,64.0,Block Group 2; Census Tract 71.12; San Bernardino County; California,1931,1931,0,100.0
825,60710071111,-117.3110942,34.03964516,44.87730159,40.08695652173913,Block Group 1; Census Tract 71.11; San Bernardino County; California,2451,2451,0,100.0
826,60710072023,-117.2513309,34.08122714,47.03411765,40.25925925925926,Block Group 3; Census Tract 72.02; San Bernardino County; California,769,769,0,100.0
827,60710087152,-117.0800838,34.03713266,45.13393939,27.451612903225808,Block Group 2; Census Tract 87.15; San Bernardino County; California,1975,1975,0,100.0
